icd10_code,short_desc,long_desc,description,category_code,category_desc,includes,excludes1,excludes2,code_first,use_additional,is_billable,is_chronic
C05.1,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C05,,,,,,,True,True
C05.2,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C05,,,,,,,True,True
C05.8,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C05,,,,,,,True,True
C05.9,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C05,,,,,,,True,True
C06.0,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C06,,,,,,,True,True
C06.1,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C06,,,,,,,True,True
C06.2,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C06,,,,,,,True,True
C06.80,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C06,,,,,,,True,True
C06.89,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C06,,,,,,,True,True
C06.9,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C06,,,,,,,True,True
C07,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C07,,,,,,,True,True
C08.0,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C08,,,,,,,True,True
C08.1,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C08,,,,,,,True,True
C08.9,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C08,,,,,,,True,True
C09.0,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C09,,,,,,,True,True
C09.1,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C09,,,,,,,True,True
C09.8,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C09,,,,,,,True,True
C09.9,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C09,,,,,,,True,True
C10.0,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C10,,,,,,,True,True
C10.1,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C10,,,,,,,True,True
C10.2,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C10,,,,,,,True,True
C10.3,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C10,,,,,,,True,True
C10.4,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C10,,,,,,,True,True
C10.8,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C10,,,,,,,True,True
C10.9,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C10,,,,,,,True,True
C11.0,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C11,,,,,,,True,True
C11.1,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C11,,,,,,,True,True
C11.2,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C11,,,,,,,True,True
C11.3,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C11,,,,,,,True,True
C11.8,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C11,,,,,,,True,True
C11.9,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C11,,,,,,,True,True
C12,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C12,,,,,,,True,True
C13.0,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C13,,,,,,,True,True
C13.1,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C13,,,,,,,True,True
C13.2,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C13,,,,,,,True,True
C13.8,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C13,,,,,,,True,True
C13.9,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C13,,,,,,,True,True
C14.0,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C14,,,,,,,True,True
C14.2,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C14,,,,,,,True,True
C14.8,Lymphoma and Other Cancers,Lymphoma and Other Cancers,Lymphoma and Other Cancers,C14,,,,,,,True,True
C15.3,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C15,,,,,,,True,True
C15.4,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C15,,,,,,,True,True
C15.5,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C15,,,,,,,True,True
C15.8,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C15,,,,,,,True,True
C15.9,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C15,,,,,,,True,True
C16.0,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C16,,,,,,,True,True
C16.1,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C16,,,,,,,True,True
C16.2,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C16,,,,,,,True,True
C16.3,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C16,,,,,,,True,True
C16.4,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C16,,,,,,,True,True
C16.5,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C16,,,,,,,True,True
C16.6,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C16,,,,,,,True,True
C16.8,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C16,,,,,,,True,True
C16.9,Lung and Other Severe Cancers,Lung and Other Severe Cancers,Lung and Other Severe Cancers,C16,,,,,,,True,True
